🔍 APEX HUNTER TP/SL VERIFICATION REPORT - 2026-04-22 19:36:26
====================================================================================================
SYMBOL               | SIDE  | STATUS   | PNL % (ROE)  | EXCEEDS 5%?
----------------------------------------------------------------------------------------------------
OBOL/USDT:USDT       | buy   | CLOSED   |      -1.67% | ✅ No
BMT/USDT:USDT        | buy   | CLOSED   |       3.75% | ✅ No
TRIA/USDT:USDT       | buy   | CLOSED   |      -3.16% | ✅ No
RIF/USDT:USDT        | sell  | CLOSED   |      -2.96% | ✅ No
D/USDT:USDT          | sell  | CLOSED   |       2.09% | ✅ No
ID/USDT:USDT         | sell  | CLOSED   |      -0.63% | ✅ No
TAG/USDT:USDT        | buy   | CLOSED   |     -12.52% | ⚠️ YES
SIREN/USDT:USDT      | buy   | CLOSED   |       6.18% | ✅ No
GWEI/USDT:USDT       | sell  | CLOSED   |      -3.88% | ✅ No
API3/USDT:USDT       | sell  | CLOSED   |      -6.29% | ⚠️ YES
ADA/USDT:USDT        | sell  | CLOSED   |      -0.53% | ✅ No
FHE/USDT:USDT        | sell  | CLOSED   |       7.83% | ✅ No
AXL/USDT:USDT        | sell  | CLOSED   |      -3.62% | ✅ No
INX/USDT:USDT        | sell  | CLOSED   |      -5.14% | ⚠️ YES
SIGN/USDT:USDT       | sell  | CLOSED   |       4.46% | ✅ No
NFP/USDT:USDT        | sell  | CLOSED   |      -5.45% | ⚠️ YES
SXT/USDT:USDT        | sell  | CLOSED   |      -5.77% | ⚠️ YES
VELODROME/USDT:USDT  | sell  | CLOSED   |     -10.36% | ⚠️ YES
PROMPT/USDT:USDT     | sell  | CLOSED   |      -7.47% | ⚠️ YES
JOE/USDT:USDT        | sell  | CLOSED   |      19.12% | ✅ No
ACT/USDT:USDT        | sell  | CLOSED   |      -7.19% | ⚠️ YES
LUMIA/USDT:USDT      | sell  | CLOSED   |      -5.29% | ⚠️ YES
FORM/USDT:USDT       | sell  | CLOSED   |      -6.24% | ⚠️ YES
COTI/USDT:USDT       | sell  | CLOSED   |      -2.70% | ✅ No
MOODENG/USDT:USDT    | sell  | CLOSED   |      -6.73% | ⚠️ YES
NAORIS/USDT:USDT     | buy   | CLOSED   |      15.13% | ✅ No
1000000MOG/USDT:USDT | buy   | CLOSED   |      -3.64% | ✅ No
SKYAI/USDT:USDT      | buy   | CLOSED   |      -1.35% | ✅ No
VELVET/USDT:USDT     | sell  | CLOSED   |      -2.20% | ✅ No
IMX/USDT:USDT        | sell  | CLOSED   |      -7.71% | ⚠️ YES
SPX/USDT:USDT        | sell  | CLOSED   |      -4.74% | ✅ No
RSR/USDT:USDT        | sell  | CLOSED   |       5.74% | ✅ No
MET/USDT:USDT        | sell  | CLOSED   |      -1.53% | ✅ No
AVAAI/USDT:USDT      | sell  | CLOSED   |      -7.00% | ⚠️ YES
PLAY/USDT:USDT       | sell  | CLOSED   |      -5.60% | ⚠️ YES
DAM/USDT:USDT        | buy   | CLOSED   |      -0.69% | ✅ No
BID/USDT:USDT        | buy   | CLOSED   |      -1.19% | ✅ No
TRADOOR/USDT:USDT    | sell  | CLOSED   |      -6.42% | ⚠️ YES
